date,description,amount,category
2026-04-03,Rewe Passau,-42.50,Groceries
2026-04-05,Netflix,-12.99,Subscriptions
2026-04-07,Salary,1200.00,Income
2026-04-10,MVV Monatskarte,-57.80,Transport
2026-04-12,Lieferando,-18.40,Food & Dining
2026-04-15,Spotify,-9.99,Subscriptions
2026-04-18,Lidl Passau,-38.10,Groceries
2026-04-20,Amazon,-64.30,Shopping
2026-04-22,Gym Membership,-20.00,Health
2026-04-25,Freelance Payment,250.00,Income
2026-05-01,Aldi Passau,-51.20,Groceries
2026-05-03,Netflix,-12.99,Subscriptions
2026-05-05,Salary,1200.00,Income
2026-05-08,Lieferando,-22.50,Food & Dining
2026-05-11,Deutsche Bahn,-34.90,Transport
